scaled_infected_var,p1,p3
0.46449793777777776,0.35000000000000003,0.5
0.4194711328395062,0.35000000000000003,0.55
0.45762444444444444,0.35000000000000003,0.6000000000000001
0.38373815111111115,0.35000000000000003,0.65
0.42165176246913577,0.35000000000000003,0.7000000000000001
0.44220242172839497,0.35000000000000003,0.75
0.48091969333333334,0.35000000000000003,0.8
0.400141384691358,0.35000000000000003,0.8500000000000001
0.4714007402469135,0.35000000000000003,0.9
0.48265955555555556,0.35000000000000003,0.9500000000000001
0.48326001777777783,0.35000000000000003,1.0
0.0,0.4,0.0
0.0,0.4,0.05
0.472275098765432,0.4,0.1
0.6289444622222222,0.4,0.15000000000000002
0.4751604202469136,0.4,0.2
0.5201376172839507,0.4,0.25
0.4827316795061728,0.4,0.30000000000000004
0.4419313950617284,0.4,0.35000000000000003
0.4265025832098765,0.4,0.4
0.49842757728395065,0.4,0.45
0.4563612839506173,0.4,0.5
0.43251153777777773,0.4,0.55
0.41056044,0.4,0.6000000000000001
0.40430329432098766,0.4,0.65
0.38863066617283953,0.4,0.7000000000000001
0.39906544,0.4,0.75
0.4240496711111111,0.4,0.8
0.40347544246913575,0.4,0.8500000000000001
0.4107119066666666,0.4,0.9
0.4151099377777778,0.4,0.9500000000000001
0.4138437624691359,0.4,1.0
0.0,0.45,0.0
0.0,0.45,0.05
0.655481953580247,0.45,0.1
0.5879387535802469,0.45,0.15000000000000002
0.5081508266666666,0.45,0.2
0.42380191358024705,0.45,0.25
0.41824026469135805,0.45,0.30000000000000004
0.4137401402469136,0.45,0.35000000000000003
0.4207881955555556,0.45,0.4
0.4215323772839506,0.45,0.45
0.37562158024691356,0.45,0.5
0.38167377580246914,0.45,0.55
0.43225365135802474,0.45,0.6000000000000001
0.3766828622222222,0.45,0.65
0.43343726222222223,0.45,0.7000000000000001
0.4123399758024691,0.45,0.75
0.3695631111111111,0.45,0.8
0.3780395155555555,0.45,0.8500000000000001
0.36621760543209875,0.45,0.9
0.3480254711111111,0.45,0.9500000000000001
0.39200004888888895,0.45,1.0
0.0,0.5,0.0
0.0,0.5,0.05
0.6284584943209877,0.5,0.1
0.6032112844444445,0.5,0.15000000000000002
0.4878438933333334,0.5,0.2
0.4740346172839507,0.5,0.25
