avg_inf_frac,p1,p3
0.19414844444444446,0.35000000000000003,0.55
0.20118666666666665,0.35000000000000003,0.6000000000000001
0.21167199999999997,0.35000000000000003,0.65
0.21810711111111108,0.35000000000000003,0.7000000000000001
0.22646044444444446,0.35000000000000003,0.75
0.23171599999999998,0.35000000000000003,0.8
0.2393048888888889,0.35000000000000003,0.8500000000000001
0.24186711111111112,0.35000000000000003,0.9
0.24594666666666667,0.35000000000000003,0.9500000000000001
0.25061866666666666,0.35000000000000003,1.0
0.0,0.4,0.0
0.0,0.4,0.05
0.05055777777777778,0.4,0.1
0.08218133333333334,0.4,0.15000000000000002
0.1126191111111111,0.4,0.2
0.13958444444444446,0.4,0.25
0.16226355555555555,0.4,0.30000000000000004
0.18050444444444444,0.4,0.35000000000000003
0.19760577777777777,0.4,0.4
0.21354044444444445,0.4,0.45
0.22571555555555556,0.4,0.5
0.2375306666666667,0.4,0.55
0.24686533333333333,0.4,0.6000000000000001
0.25398977777777776,0.4,0.65
0.2634884444444444,0.4,0.7000000000000001
0.2688986666666667,0.4,0.75
0.27649066666666666,0.4,0.8
0.2820991111111111,0.4,0.8500000000000001
0.28698533333333337,0.4,0.9
0.292544,0.4,0.9500000000000001
0.2971151111111111,0.4,1.0
0.0,0.45,0.0
0.0,0.45,0.05
0.0646391111111111,0.45,0.1
0.10130311111111112,0.45,0.15000000000000002
0.13505599999999998,0.45,0.2
0.1629088888888889,0.45,0.25
0.1879591111111111,0.45,0.30000000000000004
0.20853511111111112,0.45,0.35000000000000003
0.227712,0.45,0.4
0.24241955555555555,0.45,0.45
0.25468888888888885,0.45,0.5
0.2667991111111111,0.45,0.55
0.2769928888888889,0.45,0.6000000000000001
0.287112,0.45,0.65
0.29547199999999996,0.45,0.7000000000000001
0.3025968888888889,0.45,0.75
0.30988000000000004,0.45,0.8
0.31466266666666665,0.45,0.8500000000000001
0.3209142222222222,0.45,0.9
0.32668400000000003,0.45,0.9500000000000001
0.330844,0.45,1.0
0.0,0.5,0.0
0.0,0.5,0.05
0.07611422222222222,0.5,0.1
0.11562533333333333,0.5,0.15000000000000002
0.15109066666666668,0.5,0.2
0.18183555555555556,0.5,0.25
0.20745999999999998,0.5,0.30000000000000004
