scaled_mean,p1,p3
0.14532311111111113,0.35000000000000003,0.55
0.15788266666666667,0.35000000000000003,0.6000000000000001
0.17136977777777776,0.35000000000000003,0.65
0.17855822222222223,0.35000000000000003,0.7000000000000001
0.18644177777777776,0.35000000000000003,0.75
0.19644666666666666,0.35000000000000003,0.8
0.20550266666666667,0.35000000000000003,0.8500000000000001
0.2096342222222222,0.35000000000000003,0.9
0.21363244444444446,0.35000000000000003,0.9500000000000001
0.22220933333333331,0.35000000000000003,1.0
0.0,0.4,0.0
0.0,0.4,0.05
0.0,0.4,0.1
0.019706748466257668,0.4,0.15000000000000002
0.043070222222222225,0.4,0.2
0.08034044444444445,0.4,0.25
0.10896888888888889,0.4,0.30000000000000004
0.13618,0.4,0.35000000000000003
0.15666666666666668,0.4,0.4
0.17539066666666667,0.4,0.45
0.19095155555555554,0.4,0.5
0.20240933333333333,0.4,0.55
0.21512533333333336,0.4,0.6000000000000001
0.2271382222222222,0.4,0.65
0.23339555555555558,0.4,0.7000000000000001
0.24436355555555556,0.4,0.75
0.2520955555555556,0.4,0.8
0.25874933333333333,0.4,0.8500000000000001
0.2655391111111111,0.4,0.9
0.26990355555555556,0.4,0.9500000000000001
0.275276,0.4,1.0
0.0,0.45,0.0
0.0,0.45,0.05
0.0,0.45,0.1
0.041656,0.45,0.15000000000000002
0.08444711111111111,0.45,0.2
0.113856,0.45,0.25
0.1467368888888889,0.45,0.30000000000000004
0.17122933333333332,0.45,0.35000000000000003
0.19366088888888888,0.45,0.4
0.20870222222222223,0.45,0.45
0.22657644444444444,0.45,0.5
0.24234,0.45,0.55
0.25264844444444445,0.45,0.6000000000000001
0.262812,0.45,0.65
0.2731875555555555,0.45,0.7000000000000001
0.2801168888888889,0.45,0.75
0.2881417777777778,0.45,0.8
0.2964342222222222,0.45,0.8500000000000001
0.30072933333333335,0.45,0.9
0.3084031111111111,0.45,0.9500000000000001
0.3135777777777778,0.45,1.0
0.0,0.5,0.0
0.0,0.5,0.05
0.026825333333333333,0.5,0.1
0.07179866666666666,0.5,0.15000000000000002
0.10942488888888888,0.5,0.2
0.14472000000000002,0.5,0.25
0.17139955555555555,0.5,0.30000000000000004
0.19645555555555558,0.5,0.35000000000000003
