scaled_var,p1,p3
0.37990747152970145,0.35000000000000003,0.8
0.45376972396053283,0.35000000000000003,0.8500000000000001
0.5844172839506173,0.35000000000000003,0.9
0.455830193106024,0.35000000000000003,0.9500000000000001
0.6416137314444343,0.35000000000000003,1.0
0.0,0.4,0.0
0.0,0.4,0.05
0.0,0.4,0.1
0.0,0.4,0.15000000000000002
0.0,0.4,0.2
0.0,0.4,0.25
0.2731826293872695,0.4,0.30000000000000004
0.3882720389399675,0.4,0.35000000000000003
0.0,0.4,0.4
0.3718756965439108,0.4,0.45
0.4048567708333334,0.4,0.5
0.3481632653061225,0.4,0.55
0.4708554444444445,0.4,0.6000000000000001
0.6711827654320988,0.4,0.65
0.3832973333333334,0.4,0.7000000000000001
0.4656426666666666,0.4,0.75
0.49176543209876544,0.4,0.8
0.43863332098765434,0.4,0.8500000000000001
0.43611272839506177,0.4,0.9
0.5229305061728395,0.4,0.9500000000000001
0.41780833333333334,0.4,1.0
0.0,0.45,0.0
0.0,0.45,0.05
0.0,0.45,0.1
0.0,0.45,0.15000000000000002
0.0,0.45,0.2
0.37104709141274234,0.45,0.25
0.3861312484741211,0.45,0.30000000000000004
0.46132291358024696,0.45,0.35000000000000003
0.47533775000000006,0.45,0.4
0.4081955061728395,0.45,0.45
0.0,0.45,0.5
0.40830709876543203,0.45,0.55
0.5190848888888889,0.45,0.6000000000000001
0.4456098765432099,0.45,0.65
0.42485011111111104,0.45,0.7000000000000001
0.39168711111111115,0.45,0.75
0.4027417777777778,0.45,0.8
0.3794283950617284,0.45,0.8500000000000001
0.4133885802469136,0.45,0.9
0.4142614691358025,0.45,0.9500000000000001
0.3858727283950617,0.45,1.0
0.0,0.5,0.0
0.0,0.5,0.05
0.0,0.5,0.1
0.0,0.5,0.15000000000000002
0.0,0.5,0.2
0.29394802420790317,0.5,0.25
0.4457976666666666,0.5,0.30000000000000004
0.0,0.5,0.35000000000000003
0.371130593132154,0.5,0.4
0.5188995555555556,0.5,0.45
0.41769850617283955,0.5,0.5
0.3638426666666667,0.5,0.55
0.37878858024691353,0.5,0.6000000000000001
0.408094024691358,0.5,0.65
0.43202532098765434,0.5,0.7000000000000001
0.4495577654320988,0.5,0.75
